Date,Wind Spd, Wind Dir
2021/07/18 10:04,3.0,107
2021/07/18 10:05,3.0,106
2021/07/18 10:06,3.0,105
2021/07/18 10:07,3.0,104
2021/07/18 10:08,3.0,103
2021/07/18 10:09,4.0,103
2021/07/18 10:10,4.0,102
2021/07/18 10:11,4.0,101
2021/07/18 10:12,4.0,100
2021/07/18 10:13,5.0,101
2021/07/18 10:14,5.0,100
2021/07/18 10:15,6.0,100
2021/07/18 10:16,6.0,101
2021/07/18 10:17,7.0,103
2021/07/18 10:18,8.0,104
2021/07/18 10:19,8.0,106
2021/07/18 10:20,9.0,108
2021/07/18 10:21,9.0,109
2021/07/18 10:22,10.0,110
2021/07/18 10:23,10.0,111
2021/07/18 10:24,10.0,114
2021/07/18 10:25,10.0,116
2021/07/18 10:26,10.0,118
2021/07/18 10:27,9.0,121
2021/07/18 10:28,9.0,123
2021/07/18 10:29,9.0,124
2021/07/18 10:30,8.0,126
2021/07/18 10:31,8.0,128
2021/07/18 10:32,8.0,131
2021/07/18 10:33,7.0,134
2021/07/18 10:34,6.0,135
2021/07/18 10:35,6.0,137
2021/07/18 10:36,5.0,138
2021/07/18 10:37,5.0,140
2021/07/18 10:38,4.0,143
2021/07/18 10:39,4.0,147
2021/07/18 10:40,3.0,150
2021/07/18 10:41,3.0,149
2021/07/18 10:42,3.0,148
2021/07/18 10:43,2.0,143
2021/07/18 10:44,1.0,139
2021/07/18 10:45,1.0,137
2021/07/18 10:46,1.0,137
2021/07/18 10:47,1.0,135
2021/07/18 10:48,1.0,83
2021/07/18 10:49,2.0,80
2021/07/18 10:50,3.0,80
2021/07/18 10:51,3.0,80
2021/07/18 10:52,3.0,80
2021/07/18 10:53,4.0,79
2021/07/18 10:54,4.0,79
2021/07/18 10:55,5.0,79
2021/07/18 10:56,5.0,79
2021/07/18 10:57,5.0,79
2021/07/18 10:58,5.0,77
2021/07/18 10:59,6.0,78
2021/07/18 11:00,6.0,76
2021/07/18 11:01,6.0,75
2021/07/18 11:02,6.0,74
2021/07/18 11:03,6.0,74
2021/07/18 11:04,6.0,72
2021/07/18 11:05,6.0,69
2021/07/18 11:06,5.0,69
2021/07/18 11:07,5.0,68
2021/07/18 11:08,5.0,68
2021/07/18 11:09,5.0,70
2021/07/18 11:10,5.0,72
2021/07/18 11:11,5.0,74
2021/07/18 11:12,5.0,77
2021/07/18 11:13,5.0,80
2021/07/18 11:14,5.0,85
2021/07/18 11:15,6.0,89
2021/07/18 11:16,6.0,92
2021/07/18 11:17,6.0,96
2021/07/18 11:18,6.0,100
2021/07/18 11:19,6.0,101
2021/07/18 11:20,6.0,103
2021/07/18 11:21,7.0,104
2021/07/18 11:22,7.0,105
2021/07/18 11:23,8.0,106
2021/07/18 11:24,8.0,108
2021/07/18 11:25,8.0,108
2021/07/18 11:26,8.0,107
2021/07/18 11:27,8.0,106
2021/07/18 11:28,8.0,106
2021/07/18 11:29,8.0,107
2021/07/18 11:30,8.0,110
2021/07/18 11:31,8.0,111
2021/07/18 11:32,9.0,111
2021/07/18 11:33,9.0,100
2021/07/18 11:34,9.0,105
2021/07/18 11:35,9.0,114
2021/07/18 11:36,9.0,116
2021/07/18 11:37,9.0,116
2021/07/18 11:38,9.0,118
2021/07/18 11:39,9.0,119
2021/07/18 11:40,9.0,122
2021/07/18 11:41,9.0,127
2021/07/18 11:42,9.0,131
2021/07/18 11:43,9.0,134
2021/07/18 11:44,9.0,135
2021/07/18 11:45,9.0,133
2021/07/18 11:46,9.0,132
2021/07/18 11:47,9.0,133
2021/07/18 11:48,10.0,134
2021/07/18 11:49,10.0,134
2021/07/18 11:50,11.0,133
2021/07/18 11:51,11.0,133
2021/07/18 11:52,11.0,132
2021/07/18 11:53,12.0,131
2021/07/18 11:54,12.0,132
2021/07/18 11:55,12.0,133
2021/07/18 11:56,12.0,134
2021/07/18 11:57,12.0,131
2021/07/18 11:58,12.0,127
2021/07/18 11:59,12.0,125
2021/07/18 12:00,12.0,124
2021/07/18 12:01,12.0,123
2021/07/18 12:02,11.0,123
2021/07/18 12:03,11.0,120
2021/07/18 12:04,11.0,118
2021/07/18 12:05,10.0,114
2021/07/18 12:06,11.0,113
2021/07/18 12:07,11.0,114
2021/07/18 12:08,11.0,116
2021/07/18 12:09,11.0,116
2021/07/18 12:10,12.0,116
2021/07/18 12:11,12.0,115
2021/07/18 12:12,12.0,114
2021/07/18 12:13,12.0,115
2021/07/18 12:14,12.0,117
2021/07/18 12:15,12.0,118
2021/07/18 12:16,12.0,120
2021/07/18 12:17,12.0,120
2021/07/18 12:18,12.0,120
2021/07/18 12:19,12.0,120
2021/07/18 12:20,12.0,119
2021/07/18 12:21,12.0,117
2021/07/18 12:22,12.0,116
2021/07/18 12:23,12.0,117
2021/07/18 12:24,11.0,117
2021/07/18 12:25,11.0,117
2021/07/18 12:26,11.0,116
2021/07/18 12:27,10.0,118
2021/07/18 12:28,10.0,119
2021/07/18 12:29,10.0,121
2021/07/18 12:30,10.0,121
2021/07/18 12:31,10.0,123
2021/07/18 12:32,10.0,125
2021/07/18 12:33,10.0,125
2021/07/18 12:34,10.0,126
2021/07/18 12:35,10.0,127
2021/07/18 12:36,10.0,128
2021/07/18 12:37,10.0,129
2021/07/18 12:38,11.0,129
2021/07/18 12:39,11.0,129
2021/07/18 12:40,11.0,130
2021/07/18 12:41,11.0,129
2021/07/18 12:42,11.0,127
2021/07/18 12:43,11.0,126
2021/07/18 12:44,11.0,125
2021/07/18 12:45,12.0,123
2021/07/18 12:46,12.0,120
2021/07/18 12:47,11.0,118
2021/07/18 12:48,11.0,118
2021/07/18 12:49,11.0,118
2021/07/18 12:50,11.0,121
2021/07/18 12:51,11.0,122
2021/07/18 12:52,12.0,123
2021/07/18 12:53,12.0,123
2021/07/18 12:54,12.0,124
2021/07/18 12:55,12.0,125
2021/07/18 12:56,12.0,127
2021/07/18 12:57,12.0,127
2021/07/18 12:58,12.0,126
2021/07/18 12:59,13.0,123
2021/07/18 13:00,13.0,119
2021/07/18 13:01,13.0,118
2021/07/18 13:02,14.0,118
2021/07/18 13:03,13.0,118
2021/07/18 13:04,13.0,118
2021/07/18 13:05,14.0,118
2021/07/18 13:06,14.0,115
2021/07/18 13:07,14.0,114
2021/07/18 13:08,14.0,115
2021/07/18 13:09,14.0,117
2021/07/18 13:10,14.0,120
2021/07/18 13:11,14.0,119
2021/07/18 13:12,14.0,118
2021/07/18 13:13,14.0,117
2021/07/18 13:14,14.0,116
2021/07/18 13:15,14.0,117
2021/07/18 13:16,14.0,120
2021/07/18 13:17,14.0,120
2021/07/18 13:18,14.0,119
2021/07/18 13:19,15.0,115
2021/07/18 13:20,15.0,112
2021/07/18 13:21,16.0,112
2021/07/18 13:22,16.0,113
2021/07/18 13:23,16.0,114
2021/07/18 13:24,16.0,115
2021/07/18 13:25,16.0,114
2021/07/18 13:26,15.0,115
2021/07/18 13:27,15.0,116
2021/07/18 13:28,15.0,117
2021/07/18 13:29,14.0,119
2021/07/18 13:30,14.0,119
2021/07/18 13:31,14.0,120
2021/07/18 13:32,14.0,120
2021/07/18 13:33,14.0,119
2021/07/18 13:34,14.0,119
2021/07/18 13:35,14.0,120
2021/07/18 13:36,14.0,118
2021/07/18 13:37,14.0,118
2021/07/18 13:38,14.0,118
2021/07/18 13:39,14.0,117
2021/07/18 13:40,14.0,119
2021/07/18 13:41,14.0,118
2021/07/18 13:42,13.0,118
2021/07/18 13:43,12.0,117
2021/07/18 13:44,12.0,115
2021/07/18 13:45,13.0,111
2021/07/18 13:46,13.0,109
2021/07/18 13:47,13.0,107
2021/07/18 13:48,13.0,105
2021/07/18 13:49,13.0,105
2021/07/18 13:50,12.0,103
2021/07/18 13:51,12.0,100
2021/07/18 13:52,12.0,99
2021/07/18 13:53,14.0,101
2021/07/18 13:54,14.0,103
2021/07/18 13:55,14.0,104
2021/07/18 13:56,14.0,104
2021/07/18 13:57,14.0,103
2021/07/18 13:58,15.0,102
2021/07/18 13:59,15.0,102
2021/07/18 14:00,15.0,101
2021/07/18 14:01,16.0,102
2021/07/18 14:02,16.0,102
