Date,Wind Spd, Wind Dir
2021/07/07 7:59,12.0,99
2021/07/07 8:00,12.0,98
2021/07/07 8:01,12.0,97
2021/07/07 8:02,12.0,97
2021/07/07 8:03,11.0,97
2021/07/07 8:04,12.0,100
2021/07/07 8:05,12.0,98
2021/07/07 8:06,12.0,95
2021/07/07 8:07,12.0,96
2021/07/07 8:08,13.0,97
2021/07/07 8:09,12.0,95
2021/07/07 8:10,12.0,96
2021/07/07 8:11,12.0,97
2021/07/07 8:12,13.0,131
2021/07/07 8:13,12.0,132
2021/07/07 8:14,12.0,132
2021/07/07 8:15,11.0,126
2021/07/07 8:16,10.0,123
2021/07/07 8:17,11.0,122
2021/07/07 8:18,11.0,120
2021/07/07 8:19,11.0,119
2021/07/07 8:20,11.0,117
2021/07/07 8:21,10.0,116
2021/07/07 8:22,10.0,113
2021/07/07 8:23,11.0,110
2021/07/07 8:24,12.0,109
2021/07/07 8:25,12.0,112
2021/07/07 8:26,12.0,113
2021/07/07 8:27,12.0,113
2021/07/07 8:28,12.0,113
2021/07/07 8:29,12.0,113
2021/07/07 8:30,12.0,112
2021/07/07 8:31,13.0,109
2021/07/07 8:32,13.0,108
2021/07/07 8:33,14.0,108
2021/07/07 8:34,14.0,105
2021/07/07 8:35,15.0,102
2021/07/07 8:36,16.0,99
2021/07/07 8:37,16.0,98
2021/07/07 8:38,17.0,99
2021/07/07 8:39,17.0,98
2021/07/07 8:40,17.0,97
2021/07/07 8:41,17.0,100
2021/07/07 8:42,17.0,97
2021/07/07 8:43,16.0,96
2021/07/07 8:44,16.0,96
2021/07/07 8:45,15.0,95
2021/07/07 8:46,14.0,94
2021/07/07 8:47,14.0,93
2021/07/07 8:48,13.0,91
2021/07/07 8:49,14.0,92
2021/07/07 8:50,14.0,92
2021/07/07 8:51,15.0,90
2021/07/07 8:52,15.0,92
2021/07/07 8:53,15.0,92
2021/07/07 8:54,15.0,91
2021/07/07 8:55,15.0,93
2021/07/07 8:56,16.0,93
2021/07/07 8:57,17.0,93
2021/07/07 8:58,17.0,93
2021/07/07 8:59,16.0,92
2021/07/07 9:00,17.0,92
2021/07/07 9:01,16.0,92
2021/07/07 9:02,16.0,92
2021/07/07 9:03,17.0,93
2021/07/07 9:04,17.0,93
2021/07/07 9:05,18.0,92
2021/07/07 9:06,18.0,96
2021/07/07 9:07,18.0,94
2021/07/07 9:08,19.0,96
2021/07/07 9:09,19.0,96
2021/07/07 9:10,18.0,95
2021/07/07 9:11,19.0,97
2021/07/07 9:12,19.0,96
2021/07/07 9:13,19.0,97
2021/07/07 9:14,19.0,97
2021/07/07 9:15,18.0,97
2021/07/07 9:16,18.0,95
2021/07/07 9:17,17.0,94
2021/07/07 9:18,17.0,94
2021/07/07 9:19,17.0,93
2021/07/07 9:20,17.0,94
2021/07/07 9:21,16.0,94
2021/07/07 9:22,15.0,93
2021/07/07 9:23,15.0,92
2021/07/07 9:24,15.0,90
2021/07/07 9:25,15.0,90
2021/07/07 9:26,16.0,90
2021/07/07 9:27,16.0,91
2021/07/07 9:28,16.0,88
2021/07/07 9:29,16.0,91
2021/07/07 9:30,15.0,91
2021/07/07 9:31,15.0,90
2021/07/07 9:32,15.0,91
2021/07/07 9:33,16.0,92
2021/07/07 9:34,17.0,93
2021/07/07 9:35,16.0,93
2021/07/07 9:36,15.0,94
2021/07/07 9:37,16.0,95
2021/07/07 9:38,17.0,95
2021/07/07 9:39,17.0,93
2021/07/07 9:40,17.0,92
2021/07/07 9:41,18.0,93
2021/07/07 9:42,17.0,93
2021/07/07 9:43,16.0,94
2021/07/07 9:44,14.0,93
2021/07/07 9:45,14.0,113
2021/07/07 9:46,13.0,107
2021/07/07 9:47,12.0,102
2021/07/07 9:48,12.0,99
2021/07/07 9:49,12.0,98
2021/07/07 9:50,11.0,100
2021/07/07 9:51,10.0,99
2021/07/07 9:52,11.0,98
2021/07/07 9:53,12.0,95
2021/07/07 9:54,12.0,94
2021/07/07 9:55,12.0,119
2021/07/07 9:56,12.0,107
2021/07/07 9:57,12.0,102
2021/07/07 9:58,12.0,103
2021/07/07 9:59,13.0,101
2021/07/07 10:00,14.0,100
2021/07/07 10:01,15.0,99
2021/07/07 10:02,16.0,98
2021/07/07 10:03,17.0,94
2021/07/07 10:04,17.0,92
2021/07/07 10:05,17.0,91
2021/07/07 10:06,17.0,94
2021/07/07 10:07,17.0,93
